Dates,Emerging Market Stocks,Foreign Developed Stocks,US Stocks - Growth (Large Cap),US Stocks - Growth (Small Cap),US Stocks - Value (Large Cap),US Stocks - Momentum,US Stocks - Size (Large Cap),US Stocks - Size (Small Cap),US Government Bonds - Long Term,US Government Bonds - Short Term,Municipal Bonds,TIPS,US Corporate Bonds - High Yield,US Corporate Bonds - Investment Grade,Emerging Market Bonds - USD,Global Aggregate Bonds ex-US,Gold
20/03/2004,-3.01E-06,-1.37E-06,0,0,0,-4.10E-06,-8.20E-07,0,0,-4.10E-06,-1.64E-06,0,-1.34E-05,0,-1.07E-05,-2.19E-06,-6.83E-06
21/03/2004,-3.01E-06,-1.37E-06,0,0,0,-4.10E-06,-8.20E-07,0,0,-4.10E-06,-1.64E-06,0,-1.34E-05,0,-1.07E-05,-2.19E-06,-6.83E-06
22/03/2004,-0.018569619,-0.01296537,-0.013735321,-0.019650139,-0.015520022,-0.016213712,-0.012943021,-0.019261817,0.003756376,0.000195423,0.000503254,0.002433552,0.000432091,0.003854889,-0.000679569,0.001146787,0.013706762
23/03/2004,-0.006955322,-0.001347586,0.002042372,-0.000339298,-0.000896511,-0.000471111,-0.00132684,0.001703407,0.001474077,-4.10E-06,-0.000680937,0.001494078,0.000199498,0.001832007,0.001077695,-0.000781124,-0.00335892
24/03/2004,-0.000888188,-0.002870261,0.002222829,0.000850229,-0.007171387,0.000882271,-0.002387456,-0.001341851,-0.000678912,9.56E-05,-0.001213897,0.002610271,-7.95E-05,-0.000957623,-0.000388357,0.001680829,-0.002409233
25/03/2004,-0.004607705,0.009860669,0.017197931,0.027163868,0.013183216,0.025622768,0.016362201,0.023038659,-0.001359865,-4.10E-06,-0.001052034,-0.001395084,-0.009622396,-0.002703136,0.000280386,0.00048162,0.002040129
26/03/2004,0.005999028,0.002847686,-0.001999305,0.005673733,0.001248497,-0.000880048,-0.001014967,0.002532477,-0.006354678,-0.000103829,-0.006137732,-0.004283179,-0.001151352,-0.007431832,-0.00270584,-0.001028739,0.012970819
27/03/2004,-3.01E-06,-1.37E-06,0,0,0,-4.10E-06,-8.20E-07,0,0,-4.10E-06,-1.64E-06,0,-1.34E-05,0,-1.07E-05,-2.19E-06,-6.83E-06
28/03/2004,-3.01E-06,-1.37E-06,0,0,0,-4.10E-06,-8.20E-07,0,0,-4.10E-06,-1.64E-06,0,-1.34E-05,0,-1.07E-05,-2.19E-06,-6.83E-06
29/03/2004,0.015829103,0.011242665,0.01117063,0.017269879,0.011628072,0.014276944,0.013173683,0.019177299,-0.004225196,9.56E-05,-0.003370926,-0.003273142,-0.000842331,0.001585573,-0.002825726,-0.003992291,-0.00059995
30/03/2004,0.008320102,0.00214797,0.00288563,0.010832102,0.008127505,0.004826529,0.004058764,0.008162114,0.000344343,-4.10E-06,0.00055171,0.000468592,0.000273165,-0.002462447,0.003433425,0.000544225,-0.00297419
31/03/2004,0.011379665,0.008678867,-0.000357877,-0.000319262,0.000350823,-0.001731494,-0.000610595,0.002214329,0.003668711,9.56E-05,0.001984545,0.002626631,0.00014014,0.003614719,0.002408806,0.001509166,0.008802693
01/04/2004,0.007330783,0.012387926,0.006300881,0.008159746,0.004380277,0.008743308,0.005297226,0.010971052,-0.002450405,-4.10E-06,-0.001060517,-0.000377453,-0.002420574,-0.00042795,0.001071137,-0.002646178,0.008371739
02/04/2004,0.003640944,3.17E-05,0.011099806,0.01761608,0.006627324,0.01051685,0.008582419,0.012699427,-0.018488779,-0.000303261,-0.010485539,-0.014574826,0.001681811,-0.015613472,-0.012886389,-0.006055862,-0.019316368
03/04/2004,-3.01E-06,-1.37E-06,0,0,0,-4.10E-06,-8.20E-07,0,0,-4.10E-06,-1.64E-06,0,-1.34E-05,0,-1.07E-05,-2.19E-06,-6.83E-06
04/04/2004,-3.01E-06,-1.37E-06,0,0,0,-4.10E-06,-8.20E-07,0,0,-4.10E-06,-1.64E-06,0,-1.34E-05,0,-1.07E-05,-2.19E-06,-6.83E-06
05/04/2004,0.007862382,-0.00187003,0.006727515,0.009044682,0.006411974,0.006541376,0.007669768,0.00290825,-0.004914364,0.000195403,-0.002141939,-0.005534305,-0.000249387,-0.005018763,-0.003924793,-0.000650101,-0.003109456
06/04/2004,0.005152089,0.000661346,-0.004746293,-0.013910484,0,-0.00595648,-0.001787041,-0.012174286,0.003528258,9.56E-05,0.001741161,0.00153553,0.00120809,0.004683787,0.006464235,0.001022422,0.00190842
07/04/2004,0.003681755,0.006339903,-0.002654867,0.004076525,-0.00464952,-0.009168503,-0.006590535,0.00754571,0.000116541,-4.10E-06,0.001264307,-0.005940341,0.00034755,0.000268959,-0.001231374,0.001393069,0.001187913
08/04/2004,0.002371778,-0.001630165,-0.004429515,-0.003122098,-0.001729644,0.00156832,-0.001065924,-0.008904597,-0.001873672,-4.10E-06,0.000130549,0.000771169,0.000119451,0.000985917,-0.000779049,-0.000145912,0.001186487
09/04/2004,-0.003717107,-0.003313716,0,0,0,-4.10E-06,-8.20E-07,0,0,-4.10E-06,-1.64E-06,0,-1.34E-05,0,-1.07E-05,-2.19E-06,-6.83E-06
10/04/2004,-3.01E-06,-1.37E-06,0,0,0,-4.10E-06,-8.20E-07,0,0,-4.10E-06,-1.64E-06,0,-1.34E-05,0,-1.07E-05,-2.19E-06,-6.83E-06
11/04/2004,-3.01E-06,-1.37E-06,0,0,0,-4.10E-06,-8.20E-07,0,0,-4.10E-06,-1.64E-06,0,-1.34E-05,0,-1.07E-05,-2.19E-06,-6.83E-06
12/04/2004,0.007811183,0.002296876,0.008898446,0.006105909,0.004332461,0.002841355,0.005184303,0.002602344,-0.003169492,0.000195343,-0.000538649,0,0.001314826,-0.006088756,-0.001729259,-2.19E-06,-6.83E-06
13/04/2004,-0.00602773,-0.005808031,-0.011287869,-0.02381252,-0.018287793,-0.017869626,-0.013714796,-0.023278673,-0.007771507,-0.000103799,-0.004725451,-0.00520066,-0.000736518,-0.006305351,-0.002952304,-0.003708911,-0.027658797
14/04/2004,-0.013223666,-0.015482218,0.003212288,-0.009884653,-0.002460922,-0.006481455,-0.001098048,-0.003085577,-0.000711715,-0.000103809,-0.002836852,-0.002613443,0.000993732,-0.001359911,-0.0050091,-0.001457613,-0.02489038
15/04/2004,-0.007688063,-0.005023697,0.000176711,-0.005636116,-0.001761639,-0.005211511,0.000589203,-0.007740386,-0.001424445,-4.10E-06,0.000471333,-0.002232457,0.000686438,-0.004176071,-0.010907183,0.000871081,0.00125024
16/04/2004,-0.001180237,0.011008678,0.005512406,0.004858339,0.005117594,0.003752738,0.005115937,0.007626612,0.00368565,9.56E-05,0.002563976,0.006128337,0.000180682,0.005743387,0.00485223,0.00270293,0.006521732
17/04/2004,-3.01E-06,-1.37E-06,0,0,0,-4.10E-06,-8.20E-07,0,0,-4.10E-06,-1.64E-06,0,-1.34E-05,0,-1.07E-05,-2.19E-06,-6.83E-06
18/04/2004,-3.01E-06,-1.37E-06,0,0,0,-4.10E-06,-8.20E-07,0,0,-4.10E-06,-1.64E-06,0,-1.34E-05,0,-1.07E-05,-2.19E-06,-6.83E-06
19/04/2004,-0.00083733,-0.001609757,0.00212259,0.009346411,-0.001755763,0.003999156,0.001066732,0.007397761,-0.002606771,9.56E-05,0.000615918,0,-4.16E-05,-0.001812885,0.000246255,7.19E-05,0.005606242
20/04/2004,0.000964196,0.001810988,-0.017288419,-0.025706441,-0.014951104,-0.019591981,-0.015553286,-0.022113544,-0.007245266,-4.10E-06,-0.000940726,-0.007734371,0.001017492,-0.00653824,-0.005257619,-0.001910087,-0.015511668
21/04/2004,-0.010039527,-0.01182736,0.005559679,0.016880515,0.005714104,0.008908753,0.005375839,0.016327034,0.002034005,-0.000103799,-0.002037103,0,0.000140316,0.000822659,-0.007556394,-0.000594556,-0.01033819
22/04/2004,-0.009331957,0.002354846,0.011788921,0.015471197,0.017400347,0.022283498,0.014145193,0.013745364,0.003940971,9.56E-05,0.001789531,-0.001266826,0.001675392,0.005479884,0.004401484,0.000428693,-0.001152598
23/04/2004,0.010413444,0.003820592,0.003170684,-0.000318363,-0.001745038,-0.000756619,0.000595007,-0.00211933,-0.004163304,-0.0002035,-0.0018746,-0.01014649,0.000256804,-0.004269181,-7.94E-05,-0.000761326,0.005601122
24/04/2004,-3.01E-06,-1.37E-06,0,0,0,-4.10E-06,-8.20E-07,0,0,-4.10E-06,-1.64E-06,0,-1.34E-05,0,-1.07E-05,-2.19E-06,-6.83E-06
25/04/2004,-3.01E-06,-1.37E-06,0,0,0,-4.10E-06,-8.20E-07,0,0,-4.10E-06,-1.64E-06,0,-1.34E-05,0,-1.07E-05,-2.19E-06,-6.83E-06
26/04/2004,-0.007427904,0.005204335,-0.003866917,0.00015844,-0.001748088,-0.003575199,-0.004441153,0.002123831,-0.000119987,0.000195343,4.54E-05,0.004829872,0.000134879,9.12E-05,-4.24E-05,-0.000293738,0.006330305
